"_publishStatus","model_number_sku","Title","product_id","product_name","Products (Item)","model_number_sku 복사","model_number_sku 복사","features_tab","overview_tab","specification_tab","main_category","Products_main(List)","Products_sub(List)","sub_category","product_status","product_tag","product_sales","product_summary","detailed_description","key_feature_1","solution_category","image_gallery","gallery_images_urls","gallery_images_urls1","gallery_images_urls2","gallery_images_urls3","related_search_keyword","related_products","certificated_icons","datasheet_url","firmware_url","download_file_name1","download_file_url1","download_file_name2","download_file_url2","download_file_name3","download_file_url3","download_file_name4","download_file_url4","download_file_name5","download_file_url5","download_file_name6","download_file_url6","download_file_name7","download_file_url7","download_file_name8","download_file_url8","download_file_name9","download_file_url9","download_file_name10","download_file_url10","firmware_name","firmware_version","imaging_device","max_resolution","main_stream_resolution","main_framerate","sub_stream_resolution","sub_framerate","mobile_stream_resolution","mobile_framerate","max_framerate","min_illumination_color","min_illumination_bw","video_out","imaging_system","video_format","focal_length","lens_type","zoom_ratio","angular_field_of_view","max_aperture_ratio","min_object_distance","focus_control","sn_ratio","aperture_range","pan__tilt__rotate_range","speed_pantilt","additional_ptz_features","proportional_pan","presets","patrol_scan","pattern_scan","speed_setup","power_up_action","idle_motion","day_&_night","wide_dynamic_range","digital_noise_reduction","analytics","light_type","active_deterrence","camera_title","backlight_compensation","digital_image_stabilization","defog","motion_detection","privacy_masking","gain_control","white_balance","lens_distortion_correction","electric_shutter_speed","video_rotation","alarm_triggers","alarm_events","light_viewable_length","ir_wavelength","edge_brightness_compensation","highlight_compensation","sharpness","mirror_image","image_setting","defect_correction","function_control","video_compression","audio_compression","ethernet","protocol","bitrate_control","streaming","application_programming_interface","os__firmware_protect","user_authentication","network_authentication","secure_communication","access_control","data_protect","additional_security","power_consumption","operating_temperature","operating_humidity","storage_temperature","storage_humidity","epa_effective_projected_area","power_consumptions_without_hdd","power_input_current","power_input_voltage","sd_card_slot","starllion_ready","impact_protection","ingress_protection","camera_system","product_series","product_dimensions","product_weight","recorder_system","webpage_language","memory","material","color","housing_style","material_management","ral_code","compatible_conduit_hole__gangbox","ndaa_compliant","taa_compliant","emc","safety","accessories","power_supply","poe_injector","documents","hanging_adaptor","junction_box","dual_junction_box","ceiling_mount_single_unit","wall_mount","pole_mount","in-ceiling_mount","corner_mount","parapet_mount","other_compatible_models","detect_25ppm_8ppf","observe_63ppm_19ppf","recognize_125ppm_38ppf","identify_250ppm_76ppf","rs485","video_channels","analog_video_input","ip_video_input","incoming_bandwidth","outgoing_bandwidth","analog_device_resolution","ip_device_inputs","ip_device_protocol","ip_device_resolution","output_resolution_hdmi1","output_resolution_hdmi2","output_resolution_hdmi3","output_resolution_hdmi4","output_resolution_vga","total_device","hdd_port","poe_port","raid","audio_input","audio_output","dual_monitor_support","dual_nic","spot_monitor_support","camera_adding_method","camera_setting","easy_connection","easy_installation","ptz_control","smart_phone_app_control","smart_phone_app_live_view_control","smart_phone_app_max_remote_user","smart_phone_app_playback_control","smart_phone_app_push_notification","supported_os_for_smart_phone_app","weight_without_hdd","alarm_input","alarm_output","bnc_port","back_panel_usb_port_usb_20","coaxial_control","ethernet_port","front_panel_usb_port_usb_20","hdmi_port","local_ui","rs485_port","reset","vga_port","remote_access_software","remote_connection","security","supported_browser_for_web_viewer","supported_os_for_web_viewer","transmission_bandwidth","recording_resolution","external_storage","backup_file_type","backup_function","fast_backward_playback_control","fast_forward_playback_control","max_storage_capacity","playback_channel","playback_frame_rate","playback_mode","record_compression","record_frame","record_mode","slow_forward_playback_control","supported_storage","control","language","type","downlink_port_rate","exchange_capacity","internal_cache","led","packet_forwarding_rate","rj45","soc","uplink_port_rate","interface","ieee_standard","network_management","epoe","max_ip_camera_power_by_af","max_port_power_supply_rate","max_power_consumption_of_switch","max_power_supply_rate_of_switch","max_switcher_power_by_at","ports_for_ip_camera","ports_for_switcher","power_specification","power_supply-1","standard","thunder_prevention","hdmi_version","hdcp_version","transfer_rate","supported_resolution","tmds_signal_input_&_output","ddc_signal_input_&_output","wi-fi_frequency_bands","transmission_distance","latency","connection_type","ssid_pairing","esid_protection","ir_frequency","receiving_range","hdmi_signal","network_cable","storage_temprature","supported_video","frequency_range","supported_audio","hdr_support","edit_support","hdmi_input","hdmi_output","supported_video_format","sdi_data_transfer_rate","impendance","sdi_input_resolution","hdmi_output_resolution","supported_resolution-1","transmission_signal","anti-interference","surge_protection","coaxial_cable_connector","utp_cable_connector","range","max_protection","communication_type","display_type","display_resolution","display_character","operational_interface","control_mode","serial_port","serial_port_baudrate","protocol-1","power_input_range","adaptor_type","certification_&_standards","channels","fuse_type","input_frequency","input_voltage","output_current","output_voltage","resolution","recorder_model","pre_installed_hdd_capacity","camera_model","qty","formatted_capacity","form_factor","advanced_format","recording_technology","rohs_compliant","product_dimensions-1","product_weight-1","camera_supported","ai_streams","firmware_feature_name","tarnish_resistant_components","card_health_status_monitoring_capability","maxbuffer_to_host_interface_transfer_rate","max_host_to_from_drive_interface_transfer_rate_(sustained)","cache","rpm","speed_class","load_unload_cycles","annualized_workload_rating","non_recoverable_read_errors_per_bits_read","mtbf","endurance","limited_warranty","average_power_requirements","operating_temperature-1","storage_temperature-1","operating_shock_(2_ms_read_write)","operating_shock_(2_ms_read)","non_operating_shock_(2_ms)","idle_acoustics","average_seek_acoustics","max_power_consumption","contents","ports","data_rate","cable_length","typical_supply_current","typical_input_voltage","max_voltage","surge_current","sfp_output_low","sfp_output_high","sfp_input_low","sfp_input_high","receiver_damage_threshold","average_output_power","extinction_ratio","typical_center_wavelength","rms_spectrum_bandwidth","off_output_power","typical_differential_line_input_impendance","output_eye_mask","typical_input_optical_wavelength","sensitivity","input_saturation_power_overload","loss_of_signal_assert","loss_of_signal_de-assert","typical_los_hysteresis","typical_line_frequency","typical_tx_output_impendance","typical_rx_input_impendance","single_ended_data_input_swing","single_ended_data_output_swing","typical_risefall_time","typical_tx_input_impendance","typical_rx_output_impendance","power_supply_voltage","signal_input_voltage","commercial_case_operating_temperature","extended_case_operating_temperature","industrial_case_operating_temperature","tx_ports","tx_poe_port","100_1000_mbps_lan_ethernet_ports","100_1000_mbps_wan_ethernet_ports","sfp_ports","cpu","led_indicators","pa_chipset","ram","spi_flash","forwarding_capacity","forwarding_mode","packet_buffer_memory","transmission_distance-1","mac_address","network_standard","per_port_max_power","poe_budget","emc_safety","surge_protection-1","certification","bandwidth","rf_frequency","rf_output_power","rf_sensitivity","security-1","wi-fi_standard","switching_capacity","mac_address_table","mac_address_binding","mac_address_filtering","mac_address_learning_control","jumbo_frame","port_feature","port_mirroring","vlan","link_aggression","traffic_control","rate_limit","spanning_tree","ring_protocol","multicast","static_app_&_routing","vlan_interface","qos","acl","features","self_protection","cli","console","telnet","web","snmp","user_management","system_log","configuration_file_download_upload","upgrade_firmware","ping","traceroute","process_view","frequency","codec","built-in_microphone","max_sound_pressure_level","frequency_response","frequency_range-1","harmonic_distortion","signal_to_noise_ratio","security-2","protocol-2","voip","voip_codec","description","connector","screen_size","screen_type","resolution-1","supported_on-screen_languages","network_port","network_port_type","built-in-wifi","2_4ghz_speed","5_8ghz_speed","hotspot","decoding_codec","decoding_resolution","ip_discovery","rapid_onvif","supported_ip_cameras","included_ip_tools","analog_video_inputs","analog_video_inputs_signal_type","analog_video_outputs","analog_video_outputs_signal_type","local_image_capture_format","local_video_capture_format","built-in-media_player","hdmi_input_support_resolution","hdmi_input_support_frame","hdmi_output_support_resolution","hdmi_output_support_frame","vga_input_support_resolution","vga_input_support_frame","max_12vdc_power_output","max_24vdc_power_output","usb_5v_power_output","poe_power_output_type","max_poe_power_output","poepse_voltage_test","drop_down_shortcut_menu","ptz_control_communication","ptz_control_baud_rate","ptz_control_protocol","color_bar_generator","rtsp_streaming","rj45_cable_tdr_testing","utp_cable_testing","rs-485_data_monitoring","advanced_networking_tools","formats","hd_analog_input_type","hd-tvi_supported_resolution","hd-tvi_supported_frame","hd-cvi_supported_resolution","hd-cvi_supported_frame","ahd_supported_resolution","ahd_supported_frame","digital_multi_meter","external_power_supply","battery_type","battery_capacity","typical_battery_life","typical_battery_charging_time","power_saving","mounting_option","finalProducts_sub (List)","finalProducts (Item)","finalProducts_main (List) ","FinalProducts (Item)-1","FinalProducts_main (List)-1","FinalProducts_sub (List)-1","link-copy-of-avycon-products-main_category-2","Created Date","Updated Date","Owner","Products_Smart_defender","Products_all","Products_new","_publishDate","_draftDate","ID","Created Date","Updated Date","Owner","key_feature_2"
,"AVA-TVI-GL-ISL",,"P04012","GROUND LOOP ISOLATOR","/products/accessories/hdmi-%26-video-accessories/ava-tvi-gl-isl",,,,"{""documentStyle"":{},""nodes"":[{""id"":""1oppk34967"",""imageData"":{""containerData"":{""alignment"":""CENTER"",""textWrap"":true,""width"":{""size"":""CONTENT""}},""image"":{""height"":937,""src"":{""id"":""f1126a_0c12653ff2e842bc92e78a0255ad11b3~mv2.png""},""width"":1024}},""nodes"":[],""type"":""IMAGE""},{""id"":""cszkm34970"",""nodes"":[],""paragraphData"":{},""type"":""PARAGRAPH""}]}",,"Accessories","/products/accessories","/products/accessories/hdmi-%26-video-accessories","HDMI & Video Accessories","[""On Sale""]",,true,"GROUND LOOP ISOLATOR","• Eliminates picture tearing, cross talk, and rolling
• BNC Female & BNC Male connection
• Built-in TVS for surge protection
• Compatible with HD-TVI, CVI, AHD, and Analog cameras
• Passive type, no power required
• Plug-and-play solution",,,"[{""description"":"""",""fileName"":""AVA-TVI-GL-ISL.png"",""slug"":""f1126a_13913e5c9acc4fa3a899f18293083de3~mv2.png"",""alt"":"""",""src"":""wix:image://v1/f1126a_13913e5c9acc4fa3a899f18293083de3~mv2.png/AVA-TVI-GL-ISL.png#originWidth=1000&originHeight=1000"",""title"":""AVA-TVI-GL-ISL.png"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1000,""width"":1000}}]","https://static.wixstatic.com/media/f1126a_936ee1abcccf46188ca8c231d1193f28~mv2.png","https://static.wixstatic.com/media/f1126a_936ee1abcccf46188ca8c231d1193f28~mv2.png","https://static.wixstatic.com/media/f1126a_936ee1abcccf46188ca8c231d1193f28~mv2.png",,"Surge Protector, Ground Loop Isolator, Passive Type, HD-TVI, HD-CVI, AHD, Analog,Ground loop, ground, isolator, surge","AVA-DC-SRG-ISL,AVA-TVI-BLN-C,AVA-TVI-VP-BLN",,"https://f1126abf-35cf-4caa-8d76-40a930cc3e08.usrfiles.com/ugd/f1126a_8f5babcc0bc74b44819b7c0cb1cc45c8.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Passive Ground Loop Isolator with Surge Protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Up to 820ft (250m)",,,,,,,,,,,,,,,,,"HD-TVI / HD-CVI / AHD / ANALOG",,,,,,"1 CH","> 60db","Built-in TVS","2KV(common-code) Per : IEC1000-4-5","2KV(different-code) 4KV(common-code) Per: IEC1000-4-5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BNC Male, BNC Female, Push-Terminal Twisted-Pair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/products/accessories/hdmi-%26-video-accessories","/finalproducts/ava-tvi-gl-isl","/products/accessories","/avycon-products-item/accessories/hdmi-%26-video-accessories/ava-tvi-gl-isl","/avycon-products/accessories","/avycon-products-sub/accessories/hdmi-%26-video-accessories",,2026-02-02T04:49:09Z,2026-02-25T07:01:45Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2","/products/smart_defender","/products/all","/products/new-arrivals",,,"019d8655-9396-455c-bc6f-fa8bed74d038",2026-03-30T08:19:58Z,2026-07-21T04:45:59Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2",
,"AVY-HDD-3TB",,"P06003","3 TB HARD DISK DRIVE","/products/storage_drives/hdd/avy-hdd-3tb",,,,"{""documentStyle"":{},""nodes"":[{""id"":""rwtff45325"",""imageData"":{""containerData"":{""alignment"":""CENTER"",""textWrap"":true,""width"":{""size"":""CONTENT""}},""image"":{""height"":937,""src"":{""id"":""f1126a_3b5a853dc84c4780826b2cb165358115~mv2.png""},""width"":1024}},""nodes"":[],""type"":""IMAGE""},{""id"":""l2h8w45328"",""nodes"":[],""paragraphData"":{},""type"":""PARAGRAPH""}]}",,"Storage_Drives","/products/storage_drives","/products/storage_drives/hdd","HDD","[""On Sale""]",,true,"3 TB HARD DISK DRIVE","• Surveillance Grade Hard Drive
• 3.5"" SATA
• 3 TB Capacity
• AVYCON Full 3 Year Replacement Warranty",,,"[{""description"":"""",""fileName"":""AVY-HDD-3TB.png"",""slug"":""f1126a_2a9b228f070d4e568a1b8d28022a3d51~mv2.png"",""alt"":"""",""src"":""wix:image://v1/f1126a_2a9b228f070d4e568a1b8d28022a3d51~mv2.png/AVY-HDD-3TB.png#originWidth=1000&originHeight=1000"",""title"":""AVY-HDD-3TB.png"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1000,""width"":1000}}]","https://static.wixstatic.com/media/f1126a_e0a77c23fa064fcfaf3b19f8d47f1a6b~mv2.png","https://static.wixstatic.com/media/f1126a_e0a77c23fa064fcfaf3b19f8d47f1a6b~mv2.png","https://static.wixstatic.com/media/f1126a_e0a77c23fa064fcfaf3b19f8d47f1a6b~mv2.png",,"HDD, Hard Disk, Hard Disk Drive, Surveillance Grade, 3TB","AVY-HDD-4TB, AVY-HDD-6TB, AVY-HDD-8TB, AVY-HDD-10TB","https://static.wixstatic.com/media/f1126a_d96b4581c66a47369d02c7930b180ebe~mv2.png","https://f1126abf-35cf-4caa-8d76-40a930cc3e08.usrfiles.com/ugd/f1126a_66cfa1461d0448fd9cf48e301768a390.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3TB","3.5""","Yes","CMR","Yes",,,"Up to 64HD",,"AllFrame AI","No",,"6Gb/s","145MB/s","64MB",,,"300000","Up to 180TB/yr","<1 in 10^14","1000000",,"3 years","Read/Write: 5.0W, Idle: 4.4W, Standby and Sleep: 0.4W",,,"30Gs","65Gs","250Gs","23dBA","24dBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/products/storage_drives/hdd","/finalproducts/avy-hdd-3tb","/products/storage_drives","/avycon-products-item/storage_drives/hdd/avy-hdd-3tb","/avycon-products/storage_drives","/avycon-products-sub/storage_drives/hdd",,2026-02-02T04:49:09Z,2026-02-25T07:01:45Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2","/products/smart_defender","/products/all","/products/new-arrivals",,,"01abafc5-7537-4289-aa09-d063b65d5e8e",2026-03-30T08:19:58Z,2026-07-21T04:45:59Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2",
,"AVM-HWM-V-L1",,"P04052","Wall Mount With Junction Box","/products/accessories/junction-boxes/avm-hwm-v-l1",,,,"{""documentStyle"":{},""nodes"":[{""id"":""cecjd2066"",""imageData"":{""containerData"":{""alignment"":""CENTER"",""textWrap"":true,""width"":{""size"":""CONTENT""}},""image"":{""height"":937,""src"":{""id"":""f1126a_99dd942444ff46d795ce322a6dff6b51~mv2.png""},""width"":1024}},""nodes"":[],""type"":""IMAGE""},{""id"":""dyrny36288"",""nodes"":[],""paragraphData"":{},""type"":""PARAGRAPH""}]}",,"Accessories","/products/accessories","/products/accessories/junction-boxes","Junction Boxes","[""On Sale""]",,true,"Wall Mount With Junction Box","• Aluminum alloy material with surface spray treatment
• Wall mounting bracket",,,"[{""description"":"""",""fileName"":""AVM-HWM-V-L1.png"",""slug"":""f1126a_d9d325983d4b45a29532f1016c9c9cbb~mv2.png"",""alt"":"""",""src"":""wix:image://v1/f1126a_d9d325983d4b45a29532f1016c9c9cbb~mv2.png/AVM-HWM-V-L1.png#originWidth=1000&originHeight=1000"",""title"":""AVM-HWM-V-L1.png"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1000,""width"":1000}}]","https://static.wixstatic.com/media/f1126a_50ff1dfc8cde4913ae7fcd0b6e4f33d9~mv2.png","https://static.wixstatic.com/media/f1126a_50ff1dfc8cde4913ae7fcd0b6e4f33d9~mv2.png","https://static.wixstatic.com/media/f1126a_50ff1dfc8cde4913ae7fcd0b6e4f33d9~mv2.png",,"Wall Mount With Junction Box","AVM-JB-V-L1, AVM-JB-DUAL-UL1, AVM-CWM-EDV-L1, AVM-HCM-V-L1",,"https://f1126abf-35cf-4caa-8d76-40a930cc3e08.usrfiles.com/ugd/f1126a_79a67b3644de4939846661028333e7f4.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'-40°F ~ 140°F (-40°C ~ 60°C)","10 ~ 90% (Non-Condensing)",,,,,,,,,,,,,"Mount: 7.09"" × 6.65"" × 3.86"" (180mm x 169mm x 98mm), Junction box: 5.91"" × 2.70"" (150mm x 68.6mm)",,,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wall Mount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/products/accessories/junction-boxes","/finalproducts/avm-hwm-v-l1","/products/accessories","/avycon-products-item/accessories/junction-boxes/avm-hwm-v-l1","/avycon-products/accessories","/avycon-products-sub/accessories/junction-boxes",,2026-02-02T04:49:09Z,2026-02-25T07:01:45Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2","/products/smart_defender","/products/all","/products/new-arrivals",,,"02aa9c80-2a70-4a84-9716-1b3a24b75f87",2026-03-30T08:19:58Z,2026-07-21T04:45:59Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2",
,"AVN-S08-0E08G",,"P03012","8 PORTS GIGABIT NETWORK SWITCH","/products/networking_solutions/network-switches/avn-s08-0e08g",,,,"{""documentStyle"":{},""nodes"":[{""id"":""da32v31170"",""imageData"":{""containerData"":{""alignment"":""CENTER"",""textWrap"":true,""width"":{""size"":""CONTENT""}},""image"":{""height"":937,""src"":{""id"":""f1126a_966dd3c6bac7483a95e84e168d959836~mv2.png""},""width"":1024}},""nodes"":[],""type"":""IMAGE""},{""id"":""53aek31173"",""nodes"":[],""paragraphData"":{},""type"":""PARAGRAPH""}]}",,"Networking_Solutions","/products/networking_solutions","/products/networking_solutions/network-switches","Network Switches","[""On Sale""]",,true,"8 PORTS GIGABIT NETWORK SWITCH","• IEEE802.3, IEEE 802.3u, IEEE 802.3ab, IEEE802.3z
• Provides 8 10/100/1000 Base-TX ports
• High back-plane bandwidth of 16Gbps
• 4K MAC address table
• IEEE802.3x Flow control
• Surge protection for power and data ports
• Plug and Play design - no configuration required
• EMI standards complies with FCC, CE class B",,,"[{""description"":"""",""fileName"":""AVN-S08-0E08G.png"",""slug"":""f1126a_022fda11a626435fafef0bc18820c032~mv2.png"",""alt"":"""",""src"":""wix:image://v1/f1126a_022fda11a626435fafef0bc18820c032~mv2.png/AVN-S08-0E08G.png#originWidth=1000&originHeight=1000"",""title"":""AVN-S08-0E08G.png"",""type"":""image"",""settings"":{""focalPoint"":[0.5,0.5],""height"":1000,""width"":1000}}]","https://static.wixstatic.com/media/f1126a_544ec549e28b4b62a21b25ce5c29113a~mv2.png","https://static.wixstatic.com/media/f1126a_544ec549e28b4b62a21b25ce5c29113a~mv2.png","https://static.wixstatic.com/media/f1126a_544ec549e28b4b62a21b25ce5c29113a~mv2.png",,"Gigabit Switch, IEEE802.3, IEEE 802.3u, IEEE 802.3ab, IEEE802.3z, 10BaseT, 100BaseT, 1000BaseT, 8Ports,switch, network switch, 8 port, 8 port switch","AVN-S06-2P1U04W90G,AVN-S08-0P04W65G,AVN-E08-2P08W120,AVN-S16-2P16G","https://static.wixstatic.com/media/f1126a_244527aef1584b0ba01568208ab5142d~mv2.png","https://f1126abf-35cf-4caa-8d76-40a930cc3e08.usrfiles.com/ugd/f1126a_1e8e01a49255446ba610f89321100d59.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32°F ~ 104°F (0°C ~ 40°C)",,"14°F ~ 158°F (-10°C ~ 70°C)","20% ~ 85% (Non-Condensing)",,,,"100V ~ 240V AC",,,,,,,"5.39"" × 2.95"" x  0.98"" (137mm x 75mm x 25mm)","0.88lbs (4kg)",,,,,,,,,,,,,,,,,"QSG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User Manual, Rack Mount Kit x 2, Power Cord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8× 100/1000 Base-TX",,,,,,"Power, Link/Act",,,,,,,,"4K","IEEE802.3, IEEE 802.3u, IEEE 802.3ab, IEEE802.3z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50/60 Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/products/networking_solutions/network-switches","/finalproducts/avn-s08-0e08g","/products/networking_solutions","/avycon-products-item/networking_solutions/network-switches/avn-s08-0e08g","/avycon-products/networking_solutions","/avycon-products-sub/networking_solutions/network-switches",,2026-02-02T04:49:09Z,2026-02-25T07:01:45Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2","/products/smart_defender","/products/all","/products/new-arrivals",,,"02bc5d1b-e2da-416b-84f2-d903d278553c",2026-03-30T08:19:58Z,2026-07-21T04:45:59Z,"36f160a8-d0da-4857-860a-1dfb38ceb0e2",
